intensity,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,4
31,9
32,13
33,18
34,22
35,27
36,30
37,35
38,39
39,44
40,49
41,52
42,57
43,61
44,66
45,66
46,66
47,66
48,66
49,66
50,65
51,68
52,64
53,67
54,65
55,66
56,66
57,66
58,68
59,64
60,67
61,65
62,66
63,66
64,65
65,5108
66,66
67,65
68,66
69,67
70,73
71,75
72,79
73,85
74,85
75,91
76,93
77,100
78,104
79,106
80,113
81,113
82,122
83,125
84,131
85,134
86,137
87,143
88,145
89,152
90,156
91,165
92,174
93,180
94,187
95,199
96,209
97,216
98,226
99,234
100,243
101,253
102,258
103,270
104,279
105,286
106,298
107,301
108,315
109,321
110,331
111,341
112,345
113,341
114,333
115,332
116,329
117,329
118,330
119,326
120,322
121,318
122,318
123,313
124,309
125,311
126,306
127,305
128,303
129,301
130,4242
131,300
132,297
133,296
134,296
135,292
136,288
137,282
138,280
139,273
140,270
141,266
142,261
143,258
144,253
145,253
146,246
147,237
148,229
149,222
150,215
151,210
152,202
153,195
154,188
155,189
156,184
157,183
158,2439
159,184
160,183
161,187
162,193
163,202
164,217
165,233
166,236
167,235
168,236
169,235
170,237
171,240
172,241
173,247
174,252
175,257
176,260
177,266
178,268
179,274
180,277
181,282
182,282
183,281
184,282
185,280
186,282
187,282
188,282
189,281
190,282
191,282
192,287
193,290
194,295
195,300
196,301
197,302
198,300
199,302
200,292
201,274
202,258
203,254
204,245
205,240
206,234
207,229
208,225
209,222
210,5619
211,213
212,213
213,209
214,206
215,204
216,202
217,195
218,190
219,182
220,177
221,172
222,166
223,161
224,155
225,150
226,145
227,141
228,135
229,132
230,127
231,123
232,118
233,114
234,110
235,105
236,102
237,98
238,95
239,91
240,89
241,87
242,84
243,83
244,80
245,77
246,74
247,72
248,70
249,69
250,5108
251,66
252,66
253,64
254,64
255,2244
