intensity,count
0,4
1,9
2,13
3,18
4,22
5,27
6,30
7,35
8,39
9,44
10,49
11,52
12,57
13,61
14,66
15,66
16,66
17,66
18,66
19,66
20,65
21,68
22,64
23,67
24,65
25,66
26,66
27,66
28,68
29,64
30,67
31,65
32,66
33,66
34,65
35,5108
36,66
37,65
38,66
39,67
40,73
41,75
42,79
43,85
44,85
45,91
46,93
47,100
48,104
49,106
50,113
51,113
52,122
53,125
54,131
55,134
56,137
57,143
58,145
59,152
60,156
61,165
62,174
63,180
64,187
65,199
66,209
67,216
68,226
69,234
70,243
71,253
72,258
73,270
74,279
75,286
76,298
77,301
78,315
79,321
80,331
81,341
82,345
83,341
84,333
85,332
86,329
87,329
88,330
89,326
90,322
91,318
92,318
93,313
94,309
95,311
96,306
97,305
98,303
99,301
100,4242
101,300
102,297
103,296
104,296
105,292
106,288
107,282
108,280
109,273
110,270
111,266
112,261
113,258
114,253
115,253
116,246
117,237
118,229
119,222
120,215
121,210
122,202
123,195
124,188
125,189
126,184
127,183
128,2439
129,184
130,183
131,187
132,193
133,202
134,217
135,233
136,236
137,235
138,236
139,235
140,237
141,240
142,241
143,247
144,252
145,257
146,260
147,266
148,268
149,274
150,277
151,282
152,282
153,281
154,282
155,280
156,282
157,282
158,282
159,281
160,282
161,282
162,287
163,290
164,295
165,300
166,301
167,302
168,300
169,302
170,292
171,274
172,258
173,254
174,245
175,240
176,234
177,229
178,225
179,222
180,5619
181,213
182,213
183,209
184,206
185,204
186,202
187,195
188,190
189,182
190,177
191,172
192,166
193,161
194,155
195,150
196,145
197,141
198,135
199,132
200,127
201,123
202,118
203,114
204,110
205,105
206,102
207,98
208,95
209,91
210,89
211,87
212,84
213,83
214,80
215,77
216,74
217,72
218,70
219,69
220,5108
221,66
222,66
223,64
224,64
225,64
226,65
227,68
228,70
229,72
230,81
231,96
232,101
233,96
234,93
235,88
236,84
237,79
238,75
239,70
240,66
241,62
242,58
243,53
244,48
245,556
246,39
247,35
248,31
249,27
250,22
251,18
252,13
253,9
254,4
255,1
